question,reponse,url,secteur,source
Qu'enseigne-t-on au Collège de France ?,"Selon sa devise Docet Omnia, on y enseigne toutes choses : les quelques 50 chaires d'enseignement et de recherche du Collège de France, chacune occupée par un professeur, couvrent tous les domaines du savoir, des mathématiques et de l'informatique jusqu'à la littérature et aux arts, en passant par la physique, la chimie, la biologie, la paléoanthropologie, l'histoire, le droit, l'économie, la sociologie...",https://www.college-de-france.fr/fr/le-college-en-10-questions,Scolarité,College de France
Le Collège de France est-il ouvert au public ?,"Tous les enseignements du Collège de France (cours, séminaires, colloques...) sont entièrement ouverts au public, et le site principal de la place Marcelin Berthelot, où se trouvent amphithéâtres et salles de cours, est ainsi accessible à tous les auditeurs.",https://www.college-de-france.fr/fr/le-college-en-10-questions,Scolarité,College de France
Qui peut assister aux cours ?,"Le site Cardinal Lemoine, qui abrite l'Institut des civilisations, et le site Ulm sont réservés aux activités de recherche.",https://www.college-de-france.fr/fr/le-college-en-10-questions,Scolarité,College de France
Qui sont les professeurs du Collège de France ?,"Les cours sont ouverts à tous, sans condition d'inscription ni de diplôme. Il suffit de se présenter quelques minutes avant l'heure prévue au cours pour pouvoir y assister, dans la limite des places disponibles car certains sont très suivis.",https://www.college-de-france.fr/fr/le-college-en-10-questions,Scolarité,College de France
Le Collège de France délivre-t-il un diplôme ?,"Les professeurs du Collège de France sont élus par l’Assemblée du Collège de France, à savoir l’ensemble des professeurs en activité. Aucun grade universitaire n’est requis de celui qui se présente aux suffrages ; seules comptent l’importance et l’originalité de ses travaux. Si la grande majorité des professeurs sont des chercheurs universitaires, des artistes ou des écrivains sont régulièrement élus.",https://www.college-de-france.fr/fr/le-college-en-10-questions,Scolarité,College de France
Quelles recherches fait-on au Collège de France ?,"Un professeur est soit titulaire d’une chaire, dite statutaire, qu'il occupe jusqu'à la fin de sa carrière, soit invité à occuper temporairement une chaire dite annuelle (1 an) ou internationale (5 ans).",https://www.college-de-france.fr/fr/le-college-en-10-questions,Scolarité,College de France
Peut-on suivre les cours à distance ?,"Les cours sont entièrement libres d’accès, et le Collège de France ne délivre pas de diplôme. ",https://www.college-de-france.fr/fr/le-college-en-10-questions,Scolarité,College de France
Où se procurer les publications du Collège de France ?,"Les étudiants inscrits dans une école doctorale ayant passé une convention avec le Collège de France peuvent toutefois bénéficier de la validation de certains crédits, sous réserve d'assiduité aux cours. ",https://www.college-de-france.fr/fr/le-college-en-10-questions,Scolarité,College de France
Comment avoir accès aux bibliothèques du Collège de France ?,"Les recherches menées sont aussi étendues et variées que les domaines d'études des chaires du Collège de France, et vont même au-delà, puisque l'établissement accueille, en totalité ou en partie, 13 laboratoires de recherche (UMR) et plusieurs dizaines d'équipes de recherche sur des projets de plus courte durée. Cette recherche est structurée au sein des 8 instituts du Collège de France. ",https://www.college-de-france.fr/fr/le-college-en-10-questions,Scolarité,College de France
Qui peut travailler au Collège de France ?,"La très grande majorité des enseignements du Collège de France fait l'objet de captations audiovisuelles intégrales, librement mises à disposition sur ce site internet et sur les chaînes de podcast du Collège de France quelques jours après la tenue du cours. Certains enseignements de professeurs sont ainsi disponibles dans leur intégralité, souvent sur de nombreuses années.",https://www.college-de-france.fr/fr/le-college-en-10-questions,Scolarité,College de France
Fil d'Ariane,"Cette diffusion est unique au monde par la qualité des cours, la notoriété des intervenants français et étrangers, la variété des domaines considérés  et la mise à disposition immédiate et en accès libre de dizaines de milliers d'heures d'archives audiovisuelles.",https://www.college-de-france.fr/fr/le-college-en-10-questions,Scolarité,College de France
Accès direct,"Les Éditions du Collège de France publient une vingtaine de nouveaux titres chaque année. Leçons inaugurales, Annuaire du Collège de France proposant les résumés de cours depuis 1901, ouvrages de recherche, cycles de conférences, actes de colloques, leçons de clôture : tous sont issus d’enseignements prodigués au Collège de France ou s'appuient sur les recherches menées au sein de l’institution.",https://www.college-de-france.fr/fr/le-college-en-10-questions,Scolarité,College de France
Nos autres sites,"Les livres numériques sont commercialisés et en accès ouvert sur OpenEdition Books. Les livres imprimés sont vendus en librairie, ainsi qu’à l’accueil de la bibliothèque patrimoniale du Collège de France, sur le site Marcelin Berthelot.",https://www.college-de-france.fr/fr/le-college-en-10-questions,Scolarité,College de France
S’inscrire à notre lettre d’information,"La bibliothèque patrimoniale et le service des archives sont ouvertes à tous les publics, et en particulier aux chercheurs et aux auditeurs des cours. Les bibliothèques spécialisées de l’Institut des civilisations accueillent chercheurs et étudiants à partir du niveau Master.",https://www.college-de-france.fr/fr/le-college-en-10-questions,Scolarité,College de France
Nous suivre,"Le Collège de France propose des emplois aux fonctionnaires comme aux contractuels. Il s’engage à soutenir et promouvoir l’égalité, la diversité et l’inclusion au sein de ses communautés en encourageant les candidatures issues de profils variés, sélectionnées via un processus de recrutement ouvert et transparent.",https://www.college-de-france.fr/fr/le-college-en-10-questions,Scolarité,College de France
Footer menu,"Si vous souhaitez rejoindre le Collège de France, consultez la rubrique Recrutement et stages.",https://www.college-de-france.fr/fr/le-college-en-10-questions,Scolarité,College de France
