,Question,Reponse
0,['Comment s’inscrire sur Expedia Group\xa0?'],"['Cliquez sur le bouton «\xa0Publier votre annonce\xa0» dans le menu principal pour vous inscrire\xa0: c’est simple et rapide. Au moment de créer l’annonce de votre établissement, vous devez être le plus précis possible pour attirer la clientèle adéquate. Cliquez ici pour voir comment faire.']"
1,['Dois-je m’inscrire séparément auprès de chacune de vos marques\xa0?'],"['Non, heureusement\xa0! Vous n’avez pas besoin de vous inscrire à chacune des marques d’Expedia Group. En collaborant avec nous, votre annonce figurera sur certains des principaux sites Internet de voyage en ligne dans le monde comme Expedia, Hotels.com, Travelocity, Orbitz et Wotif, entre autres. Ensemble, nos sites Web couvrent pratiquement tous les aspects de la recherche, de la planification et de la réservation de voyages.\xa0Les voyageurs d’affaires comme de loisirs, quels que soient leurs goûts ou budgets, comptent sur nos sites pour répondre à tous leurs besoins en matière de voyage.']"
2,['Je travaille déjà avec d’autres agences de voyages en ligne (OTA). Puis-je également collaborer avec vous\xa0?'],['Absolument\xa0! Nous serions ravis de pouvoir contribuer à la visibilité de votre établissement auprès des millions de voyageurs qui réservent régulièrement leurs séjours sur nos sites.']
3,['Pouvez-vous vous connecter à mon système de réservation\xa0?'],"['Oui. Cette connexion bidirectionnelle entre nos systèmes garantit une mise à jour automatique et facile de vos tarifs, disponibilités et réservations.', 'Si vous n’avez pas de Channel Manager, mais que vous êtes déjà l’un de nos partenaires, vous pouvez vous connecter à Partner Central et consulter notre Guide de connectivité mondiale pour vous aider à identifier les canaux de distribution spécifiquement compatibles avec votre marché. Si vous n’êtes pas encore partenaire, rejoignez-nous gratuitement dès aujourd’hui\xa0!']"
4,['Je ne sais pas comment répondre à toutes les questions du formulaire d’inscription. Que dois-je faire\xa0?'],"['Aucun problème\xa0! Toutes les données saisies sur ce formulaire sont sauvegardées automatiquement au fur et à mesure pour que vous puissiez revenir sur certaines questions lorsque vous avez les informations nécessaires. Et en cas de difficulté, nous serons ravis de vous aider.']"
5,['Quel type de photo dois-je télécharger\xa0?'],"['Les photos attisent la curiosité des voyageurs et leur permettent d’imaginer leur futur séjour dans votre établissement. C’est pourquoi nous vous conseillons d’inclure quatre\xa0photos par type de chambre (y compris la salle de bain) et une de chaque zone ou équipement caractéristique de votre établissement (espaces communs, piscine, restauration, etc.). Nul besoin de clichés de photographes professionnels, des photos prises avec votre smartphone feront très bien l’affaire, à condition d’être lumineuses et nettes (la résolution minimale requise est de 1\xa0000\xa0pixels). Pour en savoir plus, consultez notre guide photo.']"
6,['Qu’est-ce qu’un fournisseur de connectivité\xa0? En ai-je besoin pour collaborer avec vous\xa0?'],"['Non, travailler en collaboration avec un fournisseur de connectivité ou disposer d’une solution de connectivité n’est pas indispensable pour pouvoir publier votre annonce sur Expedia\xa0Group. En revanche, nos années de collaboration avec plus d’un million d’établissements, partout dans le monde, nous ont montré que la gestion manuelle d’un inventaire fait souvent perdre un temps précieux. Un fournisseur de connectivité permet d’établir un flux d’informations bidirectionnel entre vos systèmes de gestion et les nôtres, de façon à assurer la mise à jour automatique de vos réservations, tarifs et disponibilités. L’affichage de disponibilités correctes et à jour dans votre calendrier réduit le risque de surréservation et permet à votre annonce de tirer le maximum de bénéfices de sa mise en ligne sur des agences de voyages en ligne (OTA).']"
7,['Mon établissement est de petite taille et ne compte que quelques employés. Sera-t-il possible de collaborer avec vous\xa0?'],"['Oui. La plupart des partenaires Expedia\xa0Group sont des établissements de petite taille qui désirent accroître leur activité. Nous travaillons d’arrache-pied pour vous proposer des outils faciles à utiliser, des opportunités promotionnelles et toute l’assistance nécessaire pour vous aider à faire prospérer votre activité.']"
8,['Qu’est-ce qu’une agence de voyages en ligne (OTA)\xa0?'],"['Une agence de voyages en ligne (OTA) est un site spécialisé dans la vente de produits de voyage comme des vols, des séjours hôteliers, des locations de voiture, des croisières, des locations de vacances, des activités, et plus encore.', 'Expedia Group comprend plusieurs OTA, parmi lesquelles Expedia.com, Hotels.com, Orbitz, Travelocity, Wotif - pour ne citer qu’elles. Nous proposons également à nos fournisseurs de voyage des outils, des ressources et des données utiles pour les aider à être plus compétitifs et à augmenter leurs revenus.']"
9,['Je viens de commencer à travailler avec Expedia\xa0Group. Que dois-je faire maintenant\xa0?'],['Bienvenue\xa0! Nous vous remercions d’avoir choisi Expedia\xa0Group. Votre succès est notre priorité. Découvrez des conseils pour les nouveaux partenaires\xa0ici. Vous attirerez des voyageurs à forte valeur pour votre hébergement en un rien de temps\xa0!']
10,['Comment se passe la gestion de mon hébergement avec Expedia Group\xa0?'],"['Notre plate-forme Partner\xa0Central est facile à utiliser\xa0: depuis un seul et même endroit, vous pouvez gérer vos réservations, charger votre inventaire, modifier vos tarifs et actualiser votre annonce. Nos partenaires choisissent très souvent d’avoir recours à un fournisseur de connectivité pour synchroniser nos systèmes et ainsi automatiser un grand nombre de leurs tâches quotidiennes. En se connectant à Partner\xa0Central, nos partenaires bénéficient d’outils de pointe, notamment des analyses concurrentielles, l’affichage en temps réel des prix de leur marché et divers programmes marketing. Et en cas de besoin, nos équipes locales sont à votre disposition.']"
11,['Existe-t-il des outils pour m’aider à gérer mes revenus\xa0?'],['Oui. Les partenaires d’Expedia Group ont accès à un ensemble d’outils et d’informations sur les données pour les aider à concevoir et à mettre en œuvre une stratégie de gestion des revenus rentable. Nous élaborons et publions régulièrement des guides sur les meilleures pratiques à suivre afin de vous accompagner vers le succès.']
12,['Comment intégrer une agence de voyages en ligne (OTA) dans ma stratégie de distribution\xa0?'],"['Votre inscription auprès d’une agence de voyages en ligne (OTA) est essentielle pour votre stratégie de distribution. Si votre but est d’attirer toujours plus de voyageurs et de cibler ceux qui profiteront pleinement de leur séjour dans votre hébergement, une OTA vous sera très utile.', 'L’ampleur de l’offre de produits de voyage sur Expedia\xa0Group est telle que nous sommes en mesure d’attirer les voyageurs durant tout le processus de réservation, des étapes de recherche et planification initiales jusqu’à la réservation finale du séjour. Il s’agit souvent de voyageurs qui organisent leur séjour à l’avance, tendent à rester plus longtemps dans votre hébergement et à dépenser plus. En plus de vous aider à remplir vos chambres, nous vous donnons accès à un ensemble d’outils et d’informations sur le marché pour vous permettre d’offrir une remarquable expérience client et par conséquent de développer votre activité.']"
13,['En quoi consiste Expedia Group précisément\xa0?'],"['Expedia\xa0Group est l’une des principales plates-formes de voyages dans le monde. Son substantiel portefeuille de marques comprend des enseignes reconnues à l’échelle internationale et locale comme Expedia, Hotels.com, Orbitz, Travelocity et bien d’autres… Pour en savoir plus, consultez la section «\xa0Qui sommes-nous\xa0?\xa0».']"
14,['Le contenu de ce site Internet est-il disponible dans d’autres langues\xa0?'],['Oui.\xa0Cliquez sur votre langue pour connaître les avantages dont bénéficient les partenaires d’Expedia\xa0Group comme vous\xa0:']
15,['Dois-je confirmer toutes mes réservations\xa0?'],"['Non, pour vous faciliter la tâche, nous envoyons automatiquement les e-mails de confirmation de réservation à vos clients.']"
16,['Que se passe-t-il en cas d’annulation ou de non-présentation du client\xa0?'],"['Vous pouvez facilement annuler une réservation pour le compte d’un client dans Partner\xa0Central. Si vous facturez des frais d’annulation, vous pouvez débiter la carte Expedia® Virtual Card associée à la réservation le jour de l’annulation.']"
17,['Mon hébergement ne propose pas d’enregistrement 24\xa0h/24. Puis-je contacter les clients avant le jour\xa0J pour définir un horaire d’arrivée\xa0?'],"['Oui. L’outil de messagerie de Partner\xa0Central vous permet de communiquer avec vos clients avant leur arrivée. Par ailleurs, nous serons ravis d’inclure sur l’annonce de votre hébergement toutes les instructions relatives à l’enregistrement.\xa0']"
18,['Puis-je apporter des modifications à mon annonce\xa0?'],"['Oui. Nous vous encourageons même à apporter des modifications à vos annonces et à les tenir à jour afin de rester compétitif. Ces guides étape par étape faciles à utiliser vous permettent de mettre à jour vos chambres et tarifs, vos photos et vos services et équipements simplement et rapidement.']"
19,['Comment réconcilier une réservation Hotel Collect\xa0?'],"['Nous savons que les modifications sont monnaie courante dans le secteur de l’hébergement. Si un client reste plus longtemps ou part plus tôt que prévu ou ne se présente pas, vous devez réconcilier le montant que vous auriez normalement perçu avec celui que vous avez effectivement facturé. Nous vous demandons d’effectuer cette opération avant le quatrième jour du mois suivant la date de départ d’origine.', 'Pour vous faciliter la tâche, nous avons élaboré des\xa0instructions étape par étape\xa0que vous pouvez utiliser dans Partner\xa0Central.']"
20,['Comment suis-je notifié d’une réservation\xa0?'],"['Nous proposons différentes méthodes de notification. C’est donc vous qui choisissez comment vous souhaitez être informé de toutes les nouvelles réservations. Nous pouvons automatiquement renseigner votre système de réservation via votre Channel\xa0Manager, vous envoyer un e-mail, ou vous notifier via Partner\xa0Central (la plateforme de gestion de votre affaire avec nous) ou l’application Partner\xa0Central d’Expedia.']"
21,['Comment puis-je communiquer avec un client\xa0?'],"['Nous mettons à votre disposition des outils\xa0qui vous permettent de contacter vos clients lorsque vous devez communiquer avec eux, que ce soit pour leur envoyer un message de bienvenue personnalisé ou pour vous assurer de leur satisfaction pendant leur séjour.']"
22,['Comment fonctionnent les paiements avec Expedia\xa0Group\xa0?'],"['En tant que partenaire d’Expedia Group, vous pouvez choisir de quelle façon vous voulez accepter les paiements de vos clients. Parmi les options disponibles, notre système de paiement sécurisé permet aux voyageurs de payer en ligne au moment de la réservation\xa0; Expedia\xa0Group émet alors une carte de paiement virtuelle que vous pouvez débiter au moment du départ. Vous pouvez aussi choisir le règlement sur place par le client le jour du départ et verser une commission à Expedia Group.', 'Pour attirer le plus grand nombre de voyageurs possible, vous pouvez décider de proposer les deux options et laisser la possibilité à chaque client de décider de la solution de paiement qui lui convient le mieux.']"
23,['Que se passe-t-il si mon hébergement n’accepte pas les cartes de crédit\xa0?'],"['Aucun problème\xa0: si votre hébergement n’accepte pas les cartes de crédit, nous préciserons dans votre annonce que seuls certains moyens de paiement sont autorisés (par exemple\xa0: argent liquide, chèque...). De cette façon, les voyageurs auront le temps de s’organiser avant leur arrivée. Nous vous contacterons par téléphone pour vous confirmer votre inscription et vous souhaiter la bienvenue dans la famille d’Expedia Group.']"
24,['À combien s’élève la rémunération que je devrai régler pour les réservations\xa0?'],['La rémunération perçue sur les réservations varie d’un pays à l’autre. Le pourcentage spécifique pour votre marché est précisé dans votre proposition de partenariat.']
25,['Que vais-je obtenir en échange de la rémunération que je paie\xa0?'],"['En plus de fournir à vos voyageurs une expérience de réservation simple et sécurisée, Expedia\xa0Group investit massivement dans la publicité, le marketing digital et la promotion sur les réseaux sociaux afin d’attirer des clients du monde entier vers votre marché et votre hébergement en particulier.', 'Nous exploitons en permanence nos données pour identifier les tendances émergentes en matière de voyage. Notre objectif est de développer et d’améliorer l’ensemble d’outils gratuits et efficaces mis à votre disposition pour vous permettre de faire croître votre activité. Nous dédions également des centres d’assistance à nos voyageurs et à nos partenaires pour les aider à résoudre les problèmes logistiques délicats qui ne manquent pas de se présenter lorsque les gens partent explorer le monde.']"
26,['Qu’est-ce qu’une Expedia® Virtual Card et comment fonctionne-t-elle\xa0?'],"['L’Expedia® Virtual Card est un système de paiement par carte à usage unique qui vous permet de recevoir le paiement des réservations Expedia\xa0Collect plus rapidement et élimine la nécessité de nous facturer. Le montant à payer est crédité à l’avance sur une Expedia® Virtual Card (EVC) pour chaque réservation Expedia\xa0Collect. Au moment du paiement, vous débitez la carte virtuelle. Le montant payé est alors automatiquement viré sur votre compte après avoir été traité par votre banque.']"
27,['Je ne réussis pas à traiter un paiement avec l’Expedia® Virtual Card. Que dois-je faire\xa0?'],"['Il arrive parfois qu’une Expedia® Virtual Card (EVC) soit refusée lorsque le montant débité est incorrect ou que vous devez fournir un code d’autorisation. Ces deux problèmes peuvent être résolus facilement et rapidement.\xa0À cet effet, vous trouverez des instructions étape par étape ici.']"
28,['Comment dois-je faire pour débiter l’Expedia® Virtual Card (EVC) pour des réservations Expedia\xa0Collect\xa0?'],"['Pour chaque réservation Expedia\xa0Collect reçue, nous vous envoyons une confirmation qui contient le numéro de l’Expedia® Virtual Card (EVC) sur laquelle le montant à payer pour la réservation a été crédité à l’avance. Au moment du paiement, il vous suffit de débiter le montant de la réservation de l’EVC. Celui-ci est automatiquement viré sur votre compte bancaire une fois qu’il a été traité par votre banque. Aucune facturation n’est alors requise.\xa0Vous trouverez des instructions étape par étape ici.']"
29,['Où puis-je trouver les informations relatives à mon Expedia® Virtual Card\xa0(EVC)\xa0?'],['Vous trouverez les informations relatives à votre carte\xa0EVC sur la page Détails de la réservation dans Expedia Partner Central ou à l’aide de l’outil de recherche d’EVC fourni sur la page d’accueil d’Expedia Partner Central.']
