question,reponse,url,secteur,source
Comment dois-je m’inscrire ?,"Les inscriptions ne se font que par internet.Vous êtes candidat de la filière économique et commerciale voie générale et voie technologique : www.concours-bce.comVous êtes candidat de la filière littéraire voie B/L : www.concours-bce.comVous êtes candidat de la filière littéraire voie BEL : www.concours-bel.frSi vous avez besoin d'aide pour vous inscrire, consultez le mode d'emploi depuis l'espace candidat.",https://www.concours-bce.com/la-foire-aux-questions,Economique,Banque centrale Européenne
"Je suis en classe préparatoire, suis-je obligé(e) de m’inscrire au concours correspondant à la voie de ma classe préparatoire ?",L'inscription à la voie technologique de la filière économique et commerciale est réservée aux candidats titulaires d'un baccalauréat technologique ou professionnel obtenu antérieurement à leur entrée dans l'enseignement supérieur.L'inscription à la voie générale de la filière économique et commerciale est réservée aux candidats titulaires d'un baccalauréat général obtenu antérieurement à leur entrée dans l'enseignement supérieur.,https://www.concours-bce.com/la-foire-aux-questions,Economique,Banque centrale Européenne
"Je suis en classe préparatoire ECG, suis-je obligé(e) de m’inscrire au concours correspondant à mon parcours en 2ème année de classe préparatoire ?","Oui, pour une inscription en voie ECG, dans la rubrique « Banques/Concours/Options"", vous devez sélectionner le parcours que vous avez suivi cette année scolaire, au 1er semestre de la 2ème année en CPGE, parmi les quatre parcours suivants :- ECG - Maths appliquées et ESH- ECG - Maths appliquées et HGG- ECG - Maths approfondies et ESH- ECG - Maths approfondies et HGGUne attestation de votre établissement vous sera demandée en pièce justificative.",https://www.concours-bce.com/la-foire-aux-questions,Economique,Banque centrale Européenne
Je ne suis pas en possession de mon diplôme du baccalauréat ?,"Vous pouvez téléverser votre relevé de notes ou une attestation de réussite (si vous avez déjà eu votre diplôme en votre possession et que vous l'avez perdu) comme pièce justificative du baccalauréat. Attention, le document doit permettre à la BCE de vérifier la série du baccalauréat, la spécialité, l'année d'obtention (session) et la décision du Jury (admis et mention).En cas de perte, de vol ou de sinistre, une attestation de réussite peut être obtenue sur le site https://diplome.gouv.fr.",https://www.concours-bce.com/la-foire-aux-questions,Economique,Banque centrale Européenne
Ma carte nationale d'identité (CNI) ou/et mon passeport est périmé(e) ?,"La durée de validité de la pièce d’identité fournie doit couvrir toute la durée du concours (du 1er jour des épreuves écrites au dernier jour des épreuves orales des écoles choisies - voir les étapes du concours)Lors de la création de votre dossier d'inscription, vous téléversez soit :-votre pièce d'identité valable pour la durée totale du concours (1 seul fichier pdf)-l'attestation (ou récépissé de demande) de renouvellement accompagnée de votre pièce d'identité actuelle si celle-ci n'est pas valable pour la durée totale du concours (1seul fichier pdf).Dans le cas où votre pièce d'identité ne sera pas valable pour la durée totale du concours, à l'enregistrement de votre dossier et des pièces justificatives par la BCE, vous recevez un mail vous indiquant que votre pièce n'est pas valide et il convient de fournir, votre nouvelle pièce en nous l’envoyant en fichier pdf attaché via le contact de votre dossier d’inscription. Vous devrez vous présenter dans votre centre d’épreuves écrites avec cette pièce d’identité valable sur toute la durée du concours.Le permis de conduire n'est pas une pièce justificative acceptée par la BCE.Particularité pour la CNI :Depuis le 1er janvier 2014, la durée de validité de la CNI est passée de 10 à 15 ans pour les personnes majeures (âgées d’au moins 18 ans).Cette prolongation de 5 ans pour les CNI concerne uniquement les nouvelles CNI sécurisées (plastifiées) délivrées à partir du 1er janvier 2014 à des personnes majeures au moment de l’obtention de celle-ci.",https://www.concours-bce.com/la-foire-aux-questions,Economique,Banque centrale Européenne
"Je n'ai pas effectué ma Journée Défense et Citoyenneté (JDC), que dois-je faire ?","Conformément au règlement du concours, vous devez être en situation régulière au regard de la loi n°97-1019 du 28/10/97 portant sur la réforme du service national et faisant obligation aux jeunes françaises et français de se faire recenser (se renseigner auprès de la mairie de son domicile) puis de participer à une Journée Défense et Citoyenneté – JDC. Vous êtes invité à vous renseigner auprès de l’organisme chargé du service national dont vous relevez (informations sur www.defense.gouv.fr/jdc/ma-jdc).Le certificat individuel de participation à la Journée Défense et Citoyenneté (JDC) est demandé uniquement pour les candidats français qui s’inscrivent à l’ESM Saint-Cyr.Dans votre inscription, vous devez alors saisir votre identifiant défense et téléverser soit : - Un exemplaire du certificat d’exemption si le candidat est atteint d’un handicap le rendant définitivement inapte à participer à la JDC (article L114-7 du code du service national) - Un exemplaire du certificat individuel de participation à la Journée défense et citoyenneté (JDC) défini par l’art. L114-2 du code du service national Le candidat possédant la double nationalité ou venant d’acquérir la nationalité française doit produire ces justificatifs. Le candidat mineur et/ou le candidat ne possédant pas la nationalité française au moment de la clôture des inscriptions n’a rien à fournir.Pour plus de renseignements sur la JDC : ministère de la justice - JDC",https://www.concours-bce.com/la-foire-aux-questions,Economique,Banque centrale Européenne
Combien de fois est-il possible de passer un même concours de la BCE ?,Vous pouvez vous présenter trois fois maximum à une même école.,https://www.concours-bce.com/la-foire-aux-questions,Economique,Banque centrale Européenne
"Je veux changer mon mot de passe, comment faire ?","Il vous suffit de cliquer sur ""codes perdus ?"" lorsque l’on vous demande de saisir votre numéro d’inscription.",https://www.concours-bce.com/la-foire-aux-questions,Economique,Banque centrale Européenne
"Je veux signer électroniquement (valider) mon inscription, comment faire ?","Cliquez sur la rubrique ""Confirmation d’inscription"" dans le bandeau gauche de l'écran sur le site d'inscription puis cliquez sur ""Récapitulatif d’inscription"" pour obtenir le récapitulatif de votre dossier (vous devez pour cela posséder Adobe Reader ou un lecteur de fichier pdf équivalent installée sur votre ordinateur). Vous devez le lire entièrement et vérifier attentivement toutes vos informations. Sur la dernière ligne de ce récapitulatif figure le code signature électronique, que vous devez saisir dans le champ qui apparaît sur le site. Toute modification de votre dossier avant la clôture des inscriptions nécessite une nouvelle signature électronique (un nouveau code signature électronique est généré en bas du récapitulatif de l’inscription). ",https://www.concours-bce.com/la-foire-aux-questions,Economique,Banque centrale Européenne
Comment m'inscrire au concours d'administrateur stagiaire de l'INSEE ?,"Pour s'inscrire au concours d'administrateur stagiaire de l'INSEE, il vous suffit de choisir la voie “Sciences sociales B/L” dans la rubrique “Banque/concours/options” et de choisir le concours ""Administrateur stagiaire de l'INSEE"".",https://www.concours-bce.com/la-foire-aux-questions,Economique,Banque centrale Européenne
