question,reponse,url,secteur,source
"Si on transmet une URL privée à un reviewer, aura-t-il un accès aux données avec restriction ?","<div class=""fr-collapse faq_right"" id=""accordion-0Acces-aux-donnees"">
<p>Oui, l'<a href=""https://recherche.data.gouv.fr/fr/categorie/9/guide/deposer-un-jeu-de-donnees#Donner+acc%C3%A8s+%C3%A0+un+jeu+de+donn%C3%A9es+non+publi%C3%A9+(URL+priv%C3%A9e)"" title=""URL privée"">URL privée</a> permet d’accéder aux fichiers d’un jeu de données non encore publié (statut draft), même si ces fichiers sont en accès restreint.</p>
</div>",https://recherche.data.gouv.fr/fr/faq,Administration,faq .gouv.fr
"Si les données sont déjà entreposées ailleurs et accompagnées de métadonnées hors Recherche Data Gouv, la métadonnée « Link to Data » peut-elle pointer vers la page décrivant les données plutôt que vers les données elles-mêmes ?","<div class=""fr-collapse faq_right"" id=""accordion-1Acces-aux-donnees"">
<p>Oui, si les métadonnées apportent des informations complémentaires à celles saisies dans l'entrepôt-catalogue Recherche Data Gouv.</p>
<p><strong>Note </strong>: Dans le cas où l’autre entrepôt attribue un DOI, il ne faut pas créer de jeu de données dans l'entrepôt-catalogue Recherche Data Gouv.</p>
</div>",https://recherche.data.gouv.fr/fr/faq,Administration,faq .gouv.fr
Peut-on limiter l’accès ou mettre un embargo à un jeu de données ou à une collection ?,"<div class=""fr-collapse faq_right"" id=""accordion-2Acces-aux-donnees"">
<p>On peut restreindre l’accès à un fichier d’un jeu de données. L’entrepôt Recherche Data Gouv ne gère pas automatiquement la durée de cette restriction d’accès (embargo), il revient au déposant du jeu de données d’enlever la restriction le moment venu. </p>
<p>Pour limiter l’accès à un jeu de données dans son ensemble, il ne doit pas avoir été publié. L’accès à ce jeu de données ne sera alors possible qu’aux personnes autorisées ou via son <a href=""https://recherche.data.gouv.fr/fr/categorie/9/guide/deposer-un-jeu-de-donnees#Donner+acc%C3%A8s+%C3%A0+un+jeu+de+donn%C3%A9es+non+publi%C3%A9+(URL+priv%C3%A9e)"" title=""https://ist.blogs.inrae.fr/datainrae-guide/?s=URL+priv%C3%A9e"">URL privée</a>.</p>
<p>On ne peut pas limiter l’accès à une collection publiée.</p>
</div>",https://recherche.data.gouv.fr/fr/faq,Administration,faq .gouv.fr
Faut-il indiquer dans Link to data un lien direct vers la donnée ou peut-on indiquer la base de données dont est extrait le jeu de données ?,"<div class=""fr-collapse faq_right"" id=""accordion-3Acces-aux-donnees"">
<p>La métadonnée ""Link to data"" indique le lien direct vers les données. Un lien vers une base de données ne permettra pas de retrouver précisément les données décrites par le jeu de données. La base de données dont le jeu de données est extrait peut être mentionnée dans la métadonnée ""Data sources"".</p>
</div>",https://recherche.data.gouv.fr/fr/faq,Administration,faq .gouv.fr
Est-ce que les métadonnées de Recherche Data Gouv sont collectées par Google ?,"<div class=""fr-collapse faq_right"" id=""accordion-4Acces-aux-donnees"">
<p>Oui, les données sont indexées par Google Dataset Search.</p>
</div>",https://recherche.data.gouv.fr/fr/faq,Administration,faq .gouv.fr
Les jeux de données restent-ils accessibles s’il n’y a plus de personne contact (par exemple : départ à la retraite) ?,"<div class=""fr-collapse faq_right"" id=""accordion-5Acces-aux-donnees"">
<p>L’accessibilité des jeux de données ne change pas. Il est en revanche nécessaire de maintenir une personne contact (qui peut être l’administrateur de la collection parente) et éventuellement d’attribuer des droits pour modifier le jeu de données ou donner accès à des fichiers restreints.</p>
</div>",https://recherche.data.gouv.fr/fr/faq,Administration,faq .gouv.fr
Peut-on changer les métadonnées facultatives pour les rendre obligatoires ? Que se passe-t-il alors pour les jeux de données déjà créés et dont les métadonnées facultatives n’étaient pas renseignées ?,"<div class=""fr-collapse faq_right"" id=""accordion-0Administration-des-collections"">
<p>Oui, on peut rendre obligatoire une métadonnée qui était facultative. Il n’y a pas d’impact sur les jeux de données déjà publiés tant qu’ils ne sont pas modifiés. Lors d’une modification, la métadonnée obligatoire devra alors être renseignée.</p>
</div>",https://recherche.data.gouv.fr/fr/faq,Administration,faq .gouv.fr
Y a t-il une charte graphique à respecter pour les collections ?,"<div class=""fr-collapse faq_right"" id=""accordion-1Administration-des-collections"">
<p>Non, il n'y a pas de recommandation particulière de la part de la plateforme <em>Recherche Data Gouv</em>. Quelques contraintes techniques sont indiquées dans le paramétrage de la collection (menu Thème + Widget).</p>
<p>Il est néanmoins possible de se référer à la documentation spécifique de l'espace institutionnel concerné pour voir si des recommandations particulières sont précisées.</p>
</div>",https://recherche.data.gouv.fr/fr/faq,Administration,faq .gouv.fr
Un administrateur de collection peut-il créer une alerte pour être prévenu lorsqu’un jeu de données a été créé depuis plus d’un an et n’est toujours pas publié ?,"<div class=""fr-collapse faq_right"" id=""accordion-2Administration-des-collections"">
<p>Il n’est pas possible pour le moment d’enregistrer une alerte automatique dans l'entrepôt <em>Recherche Data Gouv</em>. </p>
<p>Par contre, il est possible de repérer, dans une collection, les jeux de données créés à une date précise et encore non publiés.</p>
<p>Par exemple : écrire la requête <code>dateOfDeposit:[* TO 2020]</code> puis sélectionner via les facettes les jeux de données « non publiés » (il est nécessaire de se connecter pour utiliser cette facette).</p>
</div>",https://recherche.data.gouv.fr/fr/faq,Administration,faq .gouv.fr
Est-il possible de faire de la curation sur des jeux de données envoyés par l’API ?,"<div class=""fr-collapse faq_right"" id=""accordion-3Administration-des-collections"">
<p><span style=""font-size:11pt""><span style=""background-color:#ffffff""><span style=""color:#000000"">La plupart des fonctionnalités de collection est disponible via les API Dataverse, y compris l’attribution de rôles pour mettre en place un processus de curation. L’API permettra d’envoyer un jeu de données en révision, il ne sera publié que si la commande de publication est exécutée. Un jeu de données créé par l’API peut également être modifié via l’interface utilisateur.</span></span></span></p>
</div>",https://recherche.data.gouv.fr/fr/faq,Administration,faq .gouv.fr
