question,reponse,url,secteur,source
QUEL EST LE RÔLE D'UN CENTRE DE RESSOURCES BIOLOGIQUES ?,"Son rôle est de regrouper des collections de matériels biologiques et les informations qui leur sont associées, afin de faciliter leur accès pour une utilisation durable.",https://www.pasteur.fr/fr/sante-publique/crbip/faq,Santé,Institut Pasteur
QUEL EST L'INTÉRÊT D'UN CENTRE DE RESSOURCES BIOLOGIQUES ?,"• élargir le nombre de ressources biologiques (souches virales, bactériennes, échantillons humains) mises à la disposition de la communauté scientifique et des industriels et donc participer à la conservation de la biodiversité
• fonctionner sous assurance qualité, ce qui permet d’assurer une traçabilité maximale à tous les niveaux
• assurer la distribution des ressources biologiques dans le respect de la législation
• assurer la diffusion d’informations concernant les ressources biologiques",https://www.pasteur.fr/fr/sante-publique/crbip/faq,Santé,Institut Pasteur
QUELLE EST LA DIFFÉRENCE ENTRE UN CENTRE DE RESSOURCES BIOLOGIQUES ET UNE COLLECTION,"Un Centre de Ressources Biologiques peut être constitué de plusieurs collections ou partie de collections.
Un Centre de Ressources Biologiques fonctionne sous assurance qualité et assure la distribution de ses ressources et des informations qui y sont associées.",https://www.pasteur.fr/fr/sante-publique/crbip/faq,Santé,Institut Pasteur
QUELLE EST LA DÉFINITION DE L'ESPÈCE BACTÉRIENNE ?,"De nombreux renseignements concernant la nomenclature et la taxonomie bactérienne sont accessibles à l’adresse suivante :
http://www.bacterio.net/-foreword.html",https://www.pasteur.fr/fr/sante-publique/crbip/faq,Santé,Institut Pasteur
QUELLE EST LA DÉFINITION D'UNE SOUCHE TYPE ?,"Une souche type est une souche qui définit une espèce, elle en est le représentant (il n’y a qu’une souche type par espèce). Une souche type est identifiée par la lettre T à la suite de son numéro d’enregistrement.",https://www.pasteur.fr/fr/sante-publique/crbip/faq,Santé,Institut Pasteur
QU'EST CE QUE LA NOMENCLATURE BACTÉRIENNE ?,"Toutes les informations concernant la nomenclature bactérienne sont disponibles à l’adresse suivante :
http://www.bacterio.net/-nomenclature.html",https://www.pasteur.fr/fr/sante-publique/crbip/faq,Santé,Institut Pasteur
PEUT-ON UTILISER UN AUTRE MILIEU QUE CELUI RECOMMANDÉ SUR LE CATALOGUE ?,"Dans la plupart des cas, les bactéries peuvent se développer sur différents milieux. Toutefois, le milieu indiqué dans le catalogue est celui qui a donné la meilleure culture et c’est en général celui que le déposant a recommandé pour assurer le maintien des propriétés phénotypiques et génomiques.",https://www.pasteur.fr/fr/sante-publique/crbip/faq,Santé,Institut Pasteur
PEUT-ON EFFECTUER DES SUBCULTURES À PARTIR DE L'ÉCHANTILLON REÇU ?,Les transferts répétés de cultures bactériennes peuvent conduire à des contaminations ou à des mutations spontanées affectant des marqueurs biochimiques ou des profils de sensibilité ou de résistance aux antibiotiques. En tout état de cause il vaut mieux aliquoter une subculture.,https://www.pasteur.fr/fr/sante-publique/crbip/faq,Santé,Institut Pasteur
QUELLES SONT LES PRINCIPALES CAUSES D'ABSENCE DE CULTURE ?,"Il peut s’agir de :

. l’utilisation non complète du contenu des ampoules
. une pipette trop chaude utilisée pour la remise en culture de l’ampoule
. le milieu spécifié au catalogue n’a pas été utilisé
. un temps d’incubation insuffisant et/ou une température et une atmosphère non adaptées
. une remise en culture dans un trop grand volume de milieu",https://www.pasteur.fr/fr/sante-publique/crbip/faq,Santé,Institut Pasteur
QUELLE EST LA MEILLEURE MÉTHODE POUR CONSERVER DES CULTURES BACTÉRIENNES ?,"Le stockage en azote liquide est sans aucun doute le meilleur choix pour la conservation à long terme y compris pour des souches mutantes ou porteuses de plasmides.
La lyophilisation est la méthode de choix pour une distribution aisée d’échantillons à travers le monde, mais ne peut être utilisée pour toutes les souches bactériennes",https://www.pasteur.fr/fr/sante-publique/crbip/faq,Santé,Institut Pasteur
POURQUOI CERTAINES SOUCHES BACTÉRIENNES SONT DISTRIBUÉES EN FLACONS ET D'AUTRES EN AMPOULES SCELLÉES ?,Les bactéries conditionnées en flacons sont celles qui sont produites en grande quantité du fait de leur forte demande. Ce sont en général des souches recommandées pour les contrôles ou pour l’enseignement.,https://www.pasteur.fr/fr/sante-publique/crbip/faq,Santé,Institut Pasteur
LES AMPOULES LYOPHILISÉES CONTIENNENT-ELLES UN NOMBRE DÉTERMINÉ DE BACTÉRIES ?,"Non, les conditions de lyophilisation ne permettent pas une détermination précise des bactéries viables par ampoule. Cependant nous effectuons des tests de viabilité en interne pour assurer au moins 106 UFC/ml (UFC = unité formant colonie).",https://www.pasteur.fr/fr/sante-publique/crbip/faq,Santé,Institut Pasteur
Y-A-T'IL UNE DATE DE PÉREMPTION SUR LES SOUCHES LYOPHILISÉES ?,"Non, la durée de conservation sous vide n’est pas limitée dans le temps.
Les conditions de conservation sont primordiales : basse température constante, à l’abri de la lumière et surtout un vide poussé dans l’ampoule. L’humidité atmosphérique suffit à endommager le lyophilisat en cas de rupture du vide : le vide est testé avant toute expédition de souches lyophilisées.",https://www.pasteur.fr/fr/sante-publique/crbip/faq,Santé,Institut Pasteur
JE SUIS UN SCIENTIFIQUE : QUELLE EST LA DÉMARCHE À SUIVRE POUR DÉPOSER UNE RESSOURCE BIOLOGIQUE AU CRBIP ?,Vous pouvez trouver la procédure à suivre en cliquant ici,https://www.pasteur.fr/fr/sante-publique/crbip/faq,Santé,Institut Pasteur
