question,answer
Comment connaître le prix d'un logement ou d'un terrain ?,"Vérifié le 12 mars 2024 - Direction de l'information légale et administrative (Premier ministre) Si vous souhaitez estimer votre bien immobilier ou connaître le prix au mètre carré de votre logement ou de votre terrain, vous pouvez consulter des bases de données de l'administration fiscale sur internet ou un professionnel de l'immobilier. Vous pouvez consulter les bases de données Demande de valeurs foncières et Patrim. Pour avoir une estimation de votre bien immobilier, vous devez connaitre le prix au m² de celui-ci. Une base de données « Demande de valeurs foncières » recense les transactions immobilières intervenues en France au cours de 5 dernières années. Les données sont issues des actes notariés et des informations cadastrales. L'accès à cette base de données est gratuite. Consulter les dernières transactions immobilières (demande de valeurs foncières) Attention   Les informations ne sont pas disponibles pour les départements du Haut-Rhin, du Bas-Rhin, de la Moselle et Mayotte. Pour avoir une estimation de votre construction, vous pouvez utiliser l'outil Patrim, qui est un simulateur des impôts. Ces données sont uniquement accessibles depuis votre compte sur www.impots.gouv.fr. L'estimation peut être utile pour déclarer l'impôt sur la fortune immobilière (Ifi), une succession, une donation, un contrôle fiscal, une expropriation ou pour calculer vos aides au logement. L'accès à cette base de données est gratuite. Patrim : rechercher des transactions immobilières pour aider à estimer la valeur d'un bien immobilier Attention   Patrim ne couvre pas encore les ventes de biens situés dans les départements du Haut-Rhin, du Bas-Rhin, de la Moselle et Mayotte. Vous avez une question ? Vous souhaitez être accompagné(e) dans vos démarches ? Comment obtenir des renseignements immobiliers ?"
Comment obtenir des renseignements immobiliers ?,Vérifié le 27 septembre 2022 - Direction de l'information légale et administrative (Premier ministre) Vous recherchez des informations sur un bien immobilier sans passer par un notaire ? Vous vous demandez vers quel service vous adresser ? Quels renseignements obtenir ? L'accès à l'information immobilière varie selon l'année d'enregistrement des documents au service de la publicité foncière. Nous vous indiquons comment procéder. Que faire lorsque l'on a perdu l'acte de propriété de son logement ?
Quel mandat de vente peut-on confier à une agence immobilière ?,"Vérifié le 18 juillet 2023 - Direction de l'information légale et administrative (Premier ministre) Vous souhaitez vendre votre maison ou votre appartement par l'intermédiaire d'une agence immobilière ? Vous allez signer avec l'agent immobilier un contrat, appelé mandat de vente, dans lequel vous lui confiez la recherche d'un acheteur et la vente de votre bien. Il existe plusieurs types de mandat de vente. Selon le contrat, vous pouvez conserver la liberté de vendre vous-même votre bien et confier la vente à une ou plusieurs agences. Nous faisons le point sur les différents mandats. Vous pouvez choisir de signer l'un de ces 3 types de mandat de vente : Vous pouvez confier la vente à un ou plusieurs agents immobiliers. Vous gardez la possibilité de vendre vous-même votre bien. L'agent immobilier qui réalise la vente perçoit les honorairesRémunération des services rendus par les membres de certaines professions libérales (médecins, notaires, avocats, architectes, etc.). Vous n'avez pas à dédommager les autres agences. Vous avez une question ? Vous souhaitez être accompagné(e) dans vos démarches ? Vente immobilière : quelles sont les obligations de l'agent immobilier ? Voir toutes les situations "
Vente immobilière : quelles sont les obligations de l'agent immobilier ?,"Vérifié le 01 janvier 2023 - Direction de l'information légale et administrative (Premier ministre) Dans le cadre d'une vente immobilière, un agent immobilier doit remplir plusieurs obligations. Doit-il avoir un mandat Contrat par lequel une personne, le mandant, donne à une autre personne, le mandataire, le pouvoir de faire un ou des actes juridiques en son nom et pour son comptedu vendeur ? A-t-il un devoir de conseil ? Quelles informations doivent être précisées dans l'annonce immobilière ? Nous faisons un point sur la réglementation. Vous avez une question ? Vous souhaitez être accompagné(e) dans vos démarches ? Quel mandat de vente peut-on confier à une agence immobilière ? Qu'est-ce qu'une offre d'achat d'un bien immobilier ? Promesse de vente et condition suspensive d'obtention du prêt : de quoi s'agit-il ? La vente d'un bien immobilier est-elle soumise à la TVA immobilière ? Voir toutes les situations "
Quels sont les diagnostics immobiliers à fournir en cas de vente ?,"Vérifié le 01 avril 2023 - Direction de l'information légale et administrative (Premier ministre) Les règles diffèrent selon que vous achetez une maison individuelle ou un appartement. Le vendeur doit vous remettre les diagnostics suivants : Le vendeur doit également vous remettre le carnet d'information du logement (CIL). Enfin, il doit vous indiquer s'il y a un risque de mérule (champignon) dans la construction de la maison. Ce risque de mérule concerne les zones géographiques identifiées par un arrêté. L'arrêté est consultable en préfecture ou sur son site internet. Ces diagnostics et information doivent être regroupés dans un dossier qui s'appelle le dossier de diagnostic technique (DDT). Le carnet d'information du logement (CIL) n'a pas l'obligation de figurer dans ce dossier. Le vendeur doit joindre ce dossier à la promesse de vente ou à l'acte de vente. Vous avez une question ? Vous souhaitez être accompagné(e) dans vos démarches ? Vente immobilière : que doit indiquer l'annonce de l'agent immobilier ? Diagnostics immobiliers : où trouver un diagnostiqueur certifié ? Voir toutes les situations "
Diagnostics immobiliers : où trouver un diagnostiqueur certifié ?,"Vérifié le 14 mars 2022 - Direction de l'information légale et administrative (Premier ministre) Un annuaire des diagnostiqueurs certifiés est consultable sur le site du ministère en charge du logement : Trouver un diagnostiqueur immobilier certifié Vous (vendeur, bailleur...) êtes libre de faire appel au professionnel de votre choix. Vous pouvez faire appel à plusieurs professionnels pour faire réaliser les diagnostics immobiliers. À savoir   les prix des diagnostics ne sont pas réglementés, les tarifs peuvent donc varier d'un professionnel à un autre pour un même diagnostic. Quels sont les diagnostics immobiliers à fournir en cas de vente ? Quels sont les diagnostics immobiliers à fournir en cas de mise en location ? Voir toutes les situations "
Peut-on revendre son logement avant d'avoir remboursé son prêt immobilier ?,"Vérifié le 24 mai 2023 - Direction de l'information légale et administrative (Premier ministre) Vous allez vendre le logement pour lequel vous avez souscrit un ou plusieurs prêts immobiliers ? Nous faisons le point sur les possibilités de remboursement ou de transfert de ces différents crédits. La situation diffère selon le type de prêt : prêt immobilier classique, prêt à taux zéro (PTZ), prêt conventionné, prêt d'accession social (PAS)... Répondez aux questions successives et les réponses s’afficheront automatiquement 
      Vous avez choisi
     Choisissez votre cas Vous avez une question ? Vous souhaitez être accompagné(e) dans vos démarches ? Peut-on rembourser son crédit immobilier par anticipation ? Que devient le PTZ en cas de revente du logement ? Voir toutes les situations "
La vente d'un bien immobilier est-elle soumise à la TVA immobilière ?,Vérifié le 24 août 2023 - Direction de l'information légale et administrative (Premier ministre) La vente d'un bien immobilier neuf ou d'un terrain à bâtir par un vendeur professionnel est soumise à la TVA immobilière. C'est un impôt perçu par l'État. Quel est le taux de TVA : TVA : Taxe sur la valeur ajoutée immobilière applicable ? Nous vous exposons les informations à connaître. Vous avez une question ? Vous souhaitez être accompagné(e) dans vos démarches ? Comment connaître le prix d'un logement ou d'un terrain ? Voir toutes les situations 
Achat ou vente en viager : quelles sont les règles ?,Vérifié le 23 juin 2023 - Direction de l'information légale et administrative (Premier ministre) Vous allez vendre ou acheter un logement en viager ? Vous vous demandez comment fonctionne cette vente immobilière ? Vous vous posez des questions sur l'entretien du bien durant le viager ? Nous faisons le point sur la réglementation. Vous avez une question ? Vous souhaitez être accompagné(e) dans vos démarches ? En quoi consiste l'usufruit ? Voir toutes les situations 
Que faire lorsque l'on a perdu l'acte de propriété de son logement ?,"Vérifié le 30 juin 2023 - Direction de l'information légale et administrative (Premier ministre) Vous êtes propriétaire, vous avez perdu votre acte de propriétéActe notarié prouvant la propriété d'un bien immobilier. et vous voulez savoir comment faire pour obtenir une copie de cet acte ? À qui s'adresser ? Cette copie est-elle payante ? Nous faisons le point sur les démarches à suivre. Vous pouvez demander une copie de votre acte de propriété auprès du notaire ou auprès du service de la publicité foncière et de l'enregistrement. Répondez aux questions successives et les réponses s’afficheront automatiquement 
      Vous avez choisi
     Choisissez votre cas Vous avez une question ? Vous souhaitez être accompagné(e) dans vos démarches ? Comment obtenir des renseignements immobiliers ? Comment se procurer la copie d'un règlement de copropriété ? Peut-on obtenir une copie d'un acte établi par un notaire ? Voir toutes les situations "
